"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
605,2.0453231,605,0.001716707,356.5748165002429,,
606,2.0437846,606,0.001690914,350.6378217988206,,
607,2.0422504,607,0.001665505,344.7998861625745,,
608,2.0407538,608,0.001643557,339.6964866418473,,
609,2.0392575,609,0.00162161,334.6100533982098,,
610,2.037761,610,0.001599662,329.5400909788037,,
611,2.0362647,611,0.001577714,324.486724181065,,
612,2.0348494,612,0.001559105,320.1354780506611,,
613,2.0334442,613,0.001540908,315.8828876122506,,
614,2.0320392,614,0.001522711,311.64414925995874,,
615,2.030634,615,0.001504515,307.41939975386333,,
616,2.0292714,616,0.001488529,303.65920591268576,,
617,2.027935,617,0.001473897,300.1869683856101,,
618,2.0265987,618,0.001459266,296.7261712125154,,
619,2.025262,619,0.001444635,293.27655593658744,,
620,2.0239427,620,0.001430892,290.0180513084133,,
621,2.0226672,621,0.001419434,287.2324268377182,,
622,2.0213916,622,0.001407976,284.4557593588902,,
623,2.0201159,623,0.001396518,281.6880057403474,,
624,2.0188403,624,0.00138506,278.92912312699224,,
625,2.0176225,625,0.001376217,276.70484588450455,,
626,2.0164115,626,0.001367697,274.5525142196038,,
627,2.0152009,627,0.001359177,272.4070480464571,,
628,2.0139902,628,0.001350657,270.2684145681293,,
629,2.0128052,629,0.001343203,268.34955021175017,,
630,2.0116549,630,0.001337163,266.71882269537065,,
631,2.0105045,631,0.001331123,265.09326388744256,,
632,2.0093539,632,0.001325083,263.47284925295725,,
633,2.0082035,633,0.001319044,261.8577529328086,,
634,2.007089,634,0.001314991,260.641392122189,,
635,2.0059779,635,0.001311135,259.46784780248527,,
636,2.0048666,636,0.001307278,258.2977962892803,,
637,2.0037556,637,0.001303422,257.1316156814641,,
638,2.0026567,638,0.001300155,256.085103230598,,
639,2.0015836,639,0.001298137,255.28749061365218,,
640,2.0005107,640,0.00129612,254.4925668856752,,
641,1.9994378,641,0.001294103,253.7001234189399,,
642,1.9983648,642,0.001292086,252.91014862344062,,
643,1.9973428,643,0.00129105,252.31435119235474,,
644,1.9963471,644,0.001290521,251.8193349629412,,
645,1.9953513,645,0.001289991,251.325658840121,,
646,1.9943556,646,0.001289461,250.83351112634972,,
647,1.9933598,647,0.001288932,250.34307895992578,,
648,1.9923776,648,0.001289567,250.07988972295237,,
649,1.9913964,649,0.001290277,249.83203354674134,,
650,1.9904152,650,0.001290987,249.58494000491856,,
651,1.989434,651,0.001291697,249.33860558303996,,
652,1.9884614,652,0.001292546,249.1198170568634,,
653,1.9875374,653,0.001294189,249.05449646289256,,
654,1.9866134,654,0.001295832,248.98937562608987,,
655,1.9856893,655,0.001297475,248.92445363153692,,
656,1.9847653,656,0.001299117,248.8595380093666,,
657,1.9838501,657,0.00130097,248.8351777498151,,
658,1.9829576,658,0.001303364,248.9142107813621,,
659,1.9820651,659,0.001305757,248.9928132669771,,
660,1.9811726,660,0.001308151,249.07136796279647,,
661,1.9802802,661,0.001310544,249.14949486270396,,
662,1.9794002,662,0.001313118,249.26174393332462,,
663,1.9785436,663,0.001316026,249.43696009249842,,
664,1.977687,664,0.001318935,249.61183774472613,,
665,1.9768305,665,0.001321843,249.78600048114842,,
666,1.9759738,666,0.001324751,249.9596402063503,,
667,1.9751277,667,0.001327783,250.15612104116443,,
668,1.9743025,668,0.001331064,250.39885532082903,,
669,1.9734774,669,0.001334345,250.6408639374752,,
670,1.9726523,670,0.001337626,250.8821501403403,,
671,1.9718271,671,0.001340906,251.12252988104177,,
672,1.9710139,672,0.001344237,251.37173118354664,,
673,1.9702388,673,0.001347726,251.64969394662452,,
674,1.9694636,674,0.001351214,251.9266454497139,,
675,1.9686884,675,0.001354702,252.20277635575704,,
676,1.9679132,676,0.001358191,252.47827619951326,,
677,1.967139,677,0.001361683,252.753519014364,,
678,1.9663771,678,0.001365226,253.03740248317283,,
679,1.9656153,679,0.001368769,253.32044977092474,,
680,1.9648533,680,0.001372312,253.60266456665389,,
681,1.9640914,681,0.001375855,253.88405053772598,,
682,1.9633296,682,0.001379398,254.16461132999729,,
683,1.9625927,683,0.001382943,254.4447185436855,,
684,1.961861,684,0.001386489,254.72419044930172,,
685,1.9611293,685,0.001390035,255.0028463785511,,
686,1.9603976,686,0.001393581,255.28068989984362,,
687,1.9596659,687,0.001397127,255.55772456081203,,
688,1.958958,688,0.001400619,255.8240907487374,,
689,1.9582741,689,0.001404057,256.0798349156066,,
690,1.9575902,690,0.001407495,256.3348377950357,,
691,1.9569063,691,0.001410933,256.58910260534924,,
692,1.9562224,692,0.001414371,256.84263254626876,,
693,1.9555395,693,0.001417795,257.092892138317,,
694,1.9548668,694,0.001421067,257.31490763451797,,
695,1.954194,695,0.00142434,257.53646504829277,,
696,1.9535213,696,0.001427613,257.7573858028325,,
697,1.9528486,697,0.001430885,257.97749234615964,,
698,1.9521759,698,0.001434158,258.19714824567507,,
699,1.9515201,699,0.001437294,258.39154629177045,,
700,1.950876,700,0.001440335,258.5683345547574,,
701,1.950232,701,0.001443377,258.74479769246653,,
702,1.9495881,702,0.001446418,258.92057907806503,,
703,1.948944,703,0.001449459,259.09586037437316,,
704,1.9483,704,0.0014525,259.2706437124531,,
705,1.9476838,705,0.001455264,259.3955569607771,,
706,1.9470676,706,0.001458028,259.52011634720793,,
707,1.9464514,707,0.001460792,259.644323373281,,
708,1.9458352,708,0.001463556,259.76817953204875,,
709,1.945219,709,0.00146632,259.8916863081402,,
710,1.944606,710,0.001468999,259.99980093131,,
711,1.9439993,711,0.001471494,260.0750908692804,,
712,1.9433928,712,0.00147399,260.1503458126303,,
713,1.9427861,713,0.001476486,260.22538966216996,,
714,1.9421796,714,0.001478981,260.30004730525974,,
715,1.9415729,715,0.001481477,260.3746718692165,,
716,1.9409903,716,0.001483792,260.4173210421959,,
717,1.9404272,717,0.001485959,260.4339122976645,,
718,1.939864,718,0.001488126,260.45045733793677,,
719,1.9393009,719,0.001490294,260.4671311315131,,
720,1.9387378,720,0.001492461,260.4835840760709,,
721,1.9381746,721,0.001494628,260.4999913813929,,
722,1.9376179,722,0.001496573,260.47771425821816,,
723,1.9370643,723,0.001498419,260.43829169567715,,
724,1.9365106,724,0.001500265,260.3989780352426,,
725,1.9359568,725,0.00150211,260.3595994970353,,
726,1.9354032,726,0.001503956,260.32050253015376,,
727,1.9348495,727,0.001505802,260.2815131202651,,
728,1.9343145,728,0.001507408,260.20120322870787,,
729,1.9337865,729,0.001508926,260.1059443846712,,
730,1.9332584,730,0.001510445,260.0111186658321,,
731,1.9327303,731,0.001511963,259.9163804815094,,
732,1.9322023,732,0.001513481,259.8219011446849,,
733,1.9316742,733,0.001514999,259.7276795959554,,
734,1.9311525,734,0.001516293,259.5953650948026,,
735,1.9306339,735,0.001517476,259.44443284891565,,
736,1.9301152,736,0.001518659,259.29391074500114,,
737,1.9295965,737,0.001519842,259.1437971135532,,
738,1.929078,738,0.001521025,258.9940902941147,,
739,1.9285593,739,0.001522208,258.8447886352158,,
740,1.9280604,740,0.001523231,258.6687199632559,,
741,1.9275812,741,0.001524094,258.4659926467089,,
742,1.927102,742,0.001524957,258.26381176497733,,
743,1.9266226,743,0.001525819,258.0620059815734,,
744,1.9261434,744,0.001526682,257.8609115896652,,
745,1.9256642,745,0.001527544,257.660188372358,,
746,1.9251834,746,0.001528332,257.44753798639124,,
747,1.9246975,747,0.00152888,257.19508306400877,,
748,1.9242116,748,0.001529429,256.9434711543948,,
749,1.9237257,749,0.001529977,256.69236333037924,,
750,1.9232398,750,0.001530526,256.4420926788358,,
751,1.9227539,751,0.001531075,256.1924885270302,,
752,1.922268,752,0.001531623,255.94338111006167,,
753,1.9218152,753,0.001531912,255.65171235835578,,
754,1.9213676,754,0.001532159,255.35381742872593,,
755,1.92092,755,0.001532406,255.05671162473755,,
756,1.9204725,756,0.001532653,254.76039181493954,,
757,1.920025,757,0.0015329,254.46485488442772,,
758,1.9195775,758,0.001533147,254.17009773473512,,
759,1.9191331,759,0.001533277,253.85674619858744,,
760,1.9186937,760,0.001533216,253.51263799822783,,
761,1.9182543,761,0.001533156,253.16959928552498,,
762,1.9178149,762,0.001533095,252.82729602389733,,
763,1.9173754,763,0.001533035,252.48605471538815,,
764,1.916936,764,0.001532974,252.14554222744292,,
765,1.9164966,765,0.001532913,251.80591996822432,,
766,1.9160745,766,0.001532644,251.4330616693721,,
767,1.9156573,767,0.001532316,251.0515091826909,,
768,1.9152399,768,0.001531989,250.67111394689448,,
769,1.9148227,769,0.001531661,250.2915446236669,,
770,1.9144053,770,0.001531333,249.91296119478537,,
771,1.9139881,771,0.001531005,249.53535982408516,,
772,1.9135714,772,0.001530658,249.15564393567078,,
773,1.9131614,773,0.001530058,248.7357812349957,,
774,1.9127514,774,0.001529457,248.31684109465033,,
775,1.9123415,775,0.001528857,247.89914423686866,,
776,1.9119315,776,0.001528257,247.48252391738023,,
777,1.9115216,777,0.001527657,247.06697597966655,,
778,1.9111116,778,0.001527056,246.6523347671062,,
779,1.9107033,779,0.0015264,246.22988582487602,,
780,1.9103004,780,0.001525565,245.77968187557502,,
781,1.9098976,781,0.001524731,245.33079171834157,,
782,1.9094946,782,0.001523896,244.8828889224999,,
783,1.9090918,783,0.001523062,244.4362906851483,,
784,1.9086889,784,0.001522227,243.990671443675,,
785,1.9082861,785,0.001521393,243.54634761900314,,
786,1.9078935,786,0.001520493,243.0926024750486,,
787,1.9075263,787,0.001519433,242.61446253732655,,
788,1.9071591,788,0.001518374,242.1376956244543,,
789,1.9067918,789,0.001517315,241.66213724621534,,
790,1.9064245,790,0.001516256,241.18778281323773,,
791,1.9060574,791,0.001515196,240.71446889247233,,
792,1.9056901,792,0.001514137,240.24250887517618,,
793,1.9053214,793,0.001513032,239.7644497274286,,
794,1.9049469,794,0.001511756,239.2605311647502,,
795,1.9045724,795,0.00151048,238.75788032172633,,
796,1.9041979,796,0.001509204,238.25649242051912,,
797,1.9038235,797,0.001507928,237.75636270726972,,
798,1.9034489,798,0.001506652,237.25748645194835,,
799,1.9030745,799,0.001505376,236.75985894820468,,
800,1.9027,800,0.0015041,236.2634755132204,,
801,1.9023594,801,0.001502642,235.73977868541695,,
802,1.9020188,802,0.001501184,235.21738783474018,,
803,1.9016782,803,0.001499727,234.69645457485726,,
804,1.9013376,804,0.001498269,234.1766608707127,,
805,1.900997,805,0.001496811,233.65815857949775,,
806,1.9006565,806,0.001495353,233.14094289446444,,
807,1.9003158,807,0.001493896,232.62516474979813,,
808,1.8999703,808,0.001492322,232.0924669302192,,
809,1.8996222,809,0.001490689,231.55192144312065,,
810,1.8992741,810,0.001489056,231.01271063623722,,
811,1.8989261,811,0.001487422,230.47467462332122,,
812,1.898578,812,0.001485789,229.9381185805185,,
813,1.89823,813,0.001484156,229.40288247878047,,
814,1.897882,814,0.001482523,228.8689614534595,,
815,1.8975402,815,0.001480858,228.33141662869565,,
816,1.8972251,816,0.00147906,227.7747073636529,,
817,1.8969102,817,0.001477263,227.21951472313432,,
818,1.8965952,818,0.001475465,226.66552589872197,,
819,1.8962803,819,0.001473667,226.11288991637164,,
820,1.8959653,820,0.001471869,225.56160182666122,,
821,1.8956504,821,0.001470071,225.01165670428264,,
822,1.8953354,822,0.001468273,224.4630496478952,,
823,1.8950163,823,0.001466406,223.9052401837178,,
824,1.8946942,824,0.001464485,223.34054938312855,,
825,1.894372,825,0.001462565,222.7773798495785,,
826,1.8940499,826,0.001460645,222.2155739226471,,
827,1.8937277,827,0.001458725,221.65512665575676,,
828,1.8934056,828,0.001456805,221.09603312622602,,
829,1.8930833,829,0.001454885,220.538288435126,,
830,1.8927612,830,0.001452965,219.98188770713705,,
831,1.8924543,831,0.001450941,219.41109922465597,,
832,1.8921509,832,0.001448893,218.8380579152729,,
833,1.8918474,833,0.001446845,218.2663924553721,,
834,1.891544,834,0.001444797,217.6960978958548,,
835,1.8912406,835,0.001442749,217.1271693113303,,
836,1.8909372,836,0.001440701,216.55960179997456,,
837,1.8906337,837,0.001438653,215.99339048338908,,
