"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
626,0.0579,626,3.8847,779817.5706965028,,
627,0.058,627,3.8928,780197.2492436585,,
628,0.0581,628,3.9009,780575.7186234666,,
629,0.0583,629,3.9091,780972.9629346812,,
630,0.0584,630,3.9172,781348.9995328214,,
631,0.0586,631,3.9253,781723.8442558488,,
632,0.0587,632,3.9335,782117.3862592059,,
633,0.0588,633,3.9416,782489.8327576322,,
634,0.059,634,3.9497,782861.1043459688,,
635,0.0591,635,3.9578,783231.2065749721,,
636,0.0593,636,3.9659,783600.1449604881,,
637,0.0594,637,3.974,783967.924983726,,
638,0.0595,638,3.9821,784334.5520915309,,
639,0.0597,639,3.9902,784700.0316966507,,
640,0.0598,640,3.9983,785064.3691780044,,
641,0.06,641,4.0064,785427.5698809453,,
642,0.0601,642,4.0144,785770.0653315182,,
643,0.0603,643,4.0225,786131.0388220806,,
644,0.0604,644,4.0306,786490.8912769578,,
645,0.0606,645,4.0387,786849.6279102698,,
646,0.0607,646,4.0467,787187.8013177597,,
647,0.0609,647,4.0548,787544.3518872268,,
648,0.061,648,4.0628,787880.4094447291,,
649,0.0612,649,4.0709,788234.7940523076,,
650,0.0613,650,4.0789,788568.7553678405,,
651,0.0614,651,4.087,788920.9938692156,,
652,0.0616,652,4.095,789252.8783098283,,
653,0.0617,653,4.103,789583.7462590457,,
654,0.0619,654,4.1111,789932.8170136393,,
655,0.062,655,4.1191,790261.6366046852,,
656,0.0622,656,4.1271,790589.4536969778,,
657,0.0624,657,4.1351,790916.2728681372,,
658,0.0625,658,4.1431,791242.0986679557,,
659,0.0627,659,4.1511,791566.9356186093,,
660,0.0628,660,4.1592,791909.8281703437,,
661,0.063,661,4.1672,792232.6720750007,,
662,0.0631,662,4.1752,792554.5406204293,,
663,0.0633,663,4.1831,792856.4844181878,,
664,0.0634,664,4.1911,793176.4440036253,,
665,0.0636,665,4.1991,793495.4413045954,,
666,0.0637,666,4.2071,793813.4806557129,,
667,0.0639,667,4.2151,794130.5663655974,,
668,0.064,668,4.2231,794446.7027170692,,
669,0.0642,669,4.231,794743.1101547632,,
670,0.0644,670,4.239,795057.388571172,,
671,0.0645,671,4.247,795370.7302411834,,
672,0.0647,672,4.2549,795664.4393904294,,
673,0.0648,673,4.2629,795975.9478744683,,
674,0.065,674,4.2708,796267.8875342011,,
675,0.0651,675,4.2788,796577.5790328893,,
676,0.0653,676,4.2867,796867.7649788973,,
677,0.0655,677,4.2947,797175.6555020434,,
678,0.0656,678,4.3026,797464.103323625,,
679,0.0658,679,4.3106,797770.2086930287,,
680,0.0659,680,4.3185,798056.9337957366,,
681,0.0661,681,4.3264,798342.8168276581,,
682,0.0663,682,4.3344,798646.2872562815,,
683,0.0664,683,4.3423,798930.4702596168,,
684,0.0666,684,4.3502,799213.8223184982,,
685,0.0667,685,4.3581,799496.347072098,,
686,0.0669,686,4.366,799778.0481383695,,
687,0.0671,687,4.3739,800058.9291142005,,
688,0.0672,688,4.3819,800357.2586491347,,
689,0.0674,689,4.3898,800636.4836417112,,
690,0.0676,690,4.3977,800914.8992864832,,
691,0.0677,691,4.4056,801192.5090972615,,
692,0.0679,692,4.4135,801469.3165675463,,
693,0.0681,693,4.4214,801745.3251706733,,
694,0.0682,694,4.4292,802002.4311976895,,
695,0.0684,695,4.4371,802276.8784600445,,
696,0.0686,696,4.445,802550.5370808409,,
697,0.0687,697,4.4529,802823.4104545186,,
698,0.0689,698,4.4608,803095.5019560658,,
699,0.0691,699,4.4686,803348.8373007927,,
700,0.0692,700,4.4765,803619.400788269,,
701,0.0694,701,4.4844,803889.1923399754,,
702,0.0696,702,4.4922,804140.3144419413,,
703,0.0697,703,4.5001,804408.5974634098,,
704,0.0699,704,4.508,804676.1183172038,,
705,0.0701,705,4.5158,804925.0556074206,,
706,0.0702,706,4.5237,805191.0870846543,,
707,0.0704,707,4.5315,805438.591781734,,
708,0.0706,708,4.5394,805703.14642404,,
709,0.0707,709,4.5472,805949.2307138791,,
710,0.0709,710,4.5551,806212.3209220772,,
711,0.0711,711,4.5629,806456.9968531572,,
712,0.0713,712,4.5707,806700.985492296,,
713,0.0714,713,4.5786,806961.9143745428,,
714,0.0716,714,4.5864,807204.5124047187,,
715,0.0718,715,4.5942,807446.4318390057,,
716,0.0719,716,4.6021,807705.2263176306,,
717,0.0721,717,4.6099,807945.7725960161,,
718,0.0723,718,4.6177,808185.6488290578,,
719,0.0725,719,4.6255,808424.8578124944,,
720,0.0726,720,4.6333,808663.4023265326,,
721,0.0728,721,4.6412,808918.714221412,,
722,0.073,722,4.649,809155.9139356759,,
723,0.0732,723,4.6568,809392.4574958201,,
724,0.0733,724,4.6646,809628.3476207154,,
725,0.0735,725,4.6724,809863.5870142316,,
726,0.0737,726,4.6802,810098.1783653415,,
727,0.0739,727,4.688,810332.1243482229,,
728,0.074,728,4.6958,810565.42762236,,
729,0.0742,729,4.7036,810798.0908326447,,
730,0.0744,730,4.7113,811012.9024031557,,
731,0.0746,731,4.7191,811244.3169113868,,
732,0.0747,732,4.7269,811475.0991395407,,
733,0.0749,733,4.7347,811705.251675394,,
734,0.0751,734,4.7425,811934.777092621,,
735,0.0753,735,4.7503,812163.6779508896,,
736,0.0755,736,4.758,812374.8829228389,,
737,0.0756,737,4.7658,812602.5654533642,,
738,0.0758,738,4.7736,812829.6309580617,,
739,0.076,739,4.7813,813039.0773807241,,
740,0.0762,740,4.7891,813264.9393138854,,
741,0.0764,741,4.7969,813490.1916331919,,
