"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
1810,1.9636,1810,0.01113,772.7276515901525,,
1815,1.96333,1815,0.01122,776.8301834331127,,
1820,1.96306,1820,0.01131,780.9101738923201,,
1825,1.96279,1825,0.0114,784.9678082394223,,
1830,1.96252,1830,0.01149,789.0032697212399,,
1835,1.96226,1835,0.01159,793.7015554246474,,
1840,1.96199,1840,0.01168,797.69135204193,,
1845,1.96172,1845,0.01177,801.6595237452979,,
1850,1.96145,1850,0.01186,805.6062458718907,,
1855,1.96118,1855,0.01196,810.2091242465538,,
1860,1.96091,1860,0.01205,814.1116446399357,,
1865,1.96064,1865,0.01215,818.6670400239354,,
1870,1.96037,1870,0.01224,822.5260765762366,,
1875,1.9601,1875,0.01234,827.0347380330251,,
1880,1.95983,1880,0.01243,830.850993279173,,
1885,1.95956,1885,0.01253,835.3136541003736,,
1890,1.95929,1890,0.01263,839.7527029595575,,
1895,1.95902,1895,0.01273,844.1683267587983,,
1900,1.95875,1900,0.01282,847.8993225057084,,
1905,1.95848,1905,0.01292,852.2703849738609,,
1910,1.95821,1910,0.01302,856.6185622982014,,
1915,1.95794,1915,0.01312,860.9440337357302,,
1920,1.95767,1920,0.01322,865.2469766761889,,
1925,1.9574,1925,0.01332,869.5275666663075,,
1930,1.95713,1930,0.01342,873.7859774336791,,
1935,1.95686,1935,0.01352,878.0223809102638,,
1940,1.95658,1940,0.01363,882.8846983181213,,
1945,1.95631,1945,0.01373,887.0759307719868,,
1950,1.95604,1950,0.01383,891.2456697260891,,
1955,1.95577,1955,0.01393,895.3940800921907,,
1960,1.9555,1960,0.01404,900.162466457157,,
1965,1.95522,1965,0.01414,904.2670762699171,,
1970,1.95495,1970,0.01425,908.9887373330874,,
1975,1.95468,1975,0.01435,913.050219321793,,
1980,1.95441,1980,0.01446,917.7258539577457,,
1985,1.95413,1985,0.01457,922.3779337592601,,
1990,1.95386,1990,0.01467,926.3751603650708,,
1995,1.95359,1995,0.01478,930.9822440111708,,
2000,1.95331,2000,0.01489,935.5662922390404,,
